CityData
ZIMBABWE;2000,2000;4000,4000;2500,2500;400,400;1;1;Aditya
THAILAND;3500,3500;5000,5000;2750,2750;700,700;1;0;
JAKARTA;5000,5000;10000,10000;4000,4000;1000,1000;1;0;
POLANDIA;10000,10000;15000,15000;6500,6500;2500,2500;2;0;
PRANCIS;13000,13000;20000,20000;7000,7000;3000,3000;2;0;
JERMAN;15000,39185;30000,78370;10000,26123;6000,15674;2;2;Putra
SINGAPORE;23000,23000;40000,40000;30000,30000;15000,15000;3;0;
UNITED STATES;27000,27000;45000,45000;35000,35000;13000,13000;3;0;
PlayerData
Aditya;0;47500;0
Putra;1;22540;5
Turn
Aditya;Putra
